STR,CUI
congestive cardiomyopathies,C0007193
pulmonary edema disorder,C0034063
pulmonary edema diagnosis,C0034063
passive congestion morphologic abnormality,C0042484
depression adverse event,C1999266
respiratory crackles finding,C0034642
rales or crackles physical finding,C0034642
rale,C0034642
arrhythmia cardiac nos,C0003811
arrhythmias heart,C0003811
dysrhythmia s,C0003811
cardiac arrhythmia disorder,C0003811
cardiac rhythm disorder diagnosis,C0003811
defect conduction nos,C0003811
heart rhythm,C0003811
disorder rhythm heart,C0003811
disturbance rhythm heart,C0003811
rhythm heart abnormal,C0003811
rhythm abnormal,C0003811
rhythm disorder,C0003811
decompensation finding,C0231187
low blood pressure disorder,C0020649
hypotension physical finding,C0020649
hypotension diagnosis,C0020649
lbp,C0020649
pressure low blood,C0020649
ventricular septal abnormality diagnosis,C0018818
congenital ventricular septal defect disorder,C0018818
ventricular septal defect disorder,C0018818
ventricular septal defect diagnosis,C0018818
ventricular septal abnormality disorder,C0018818
vsd,C0018818
heart rate irregular physical finding,C0237314
underweight finding,C0041667
underweight diagnosis,C0041667
weight of patient too low physical finding,C0041667
cardiomegaly of left ventricle disorder,C0149721
left ventricular hypertrophy disorder,C0149721
hypertrophy of left ventricle diagnosis,C0149721
left ventricular enlargement diagnosis,C0149721
lvh,C0149721
lv left ventricular hypertrophy,C0149721
irregular heart beat finding,C0237314
irregular palpitations symptom,C0237314
heartbeat pulse irregular,C0237314
heart beat irregular,C0237314
myocarditis disorder,C0027059
depressed mood finding,C0344315
depressed mood physical finding,C0344315
sad,C0344315
sadness,C0344315
feeling of sadness,C0344315
dilated ischemic cardiomyopathy diagnosis,C2063324
cardiomegaly disorder,C0018800
cardiomegaly diagnosis,C0018800
acute cardiac failure diagnosis,C0264714
acute heart failure disorder,C0264714
alteration in cardiac output decreased,C0007166
decreased cardiac output finding,C0007166
impaired left ventricular function finding,C0242698
old myocardial infarction disorder,C0155668
previous myocardial infarction diagnosis,C0155668
hypertension adverse event,C1963138
type 2 diabetes mellitus diagnosis,C0011860
diabetes mellitus type 2 disorder,C0011860
diabetes mellitus niddm,C0011860
mod,C0011860
aodm,C0011860
t2d,C0011860
tachypnea finding,C0231835
rapid breathing symptom,C0231835
tachypnea physical finding,C0231835
rate of respiration increased,C0231835
respiration rapid,C0231835
hypervolemia disorder,C0546817
fluid overload diagnosis,C0546817
rndx fluid volume excess diagnosis,C0546817
right heart failure diagnosis,C0235527
rvf,C0235527
right heart failure disorder,C0235527
heart failure disorder,C0018801
cardiac failure diagnosis,C0018801
weakness heart,C0018801
pulmonary hypertension adverse event,C1963220
myocardial infarction acute nos,C0155626
acute myocardial infarction mi,C0155626
acute myocardial infarction disorder,C0155626
acute myocardial infarction diagnosis,C0155626
myocarditis diagnosis,C0027059
inflammation myocardium,C0027059
myocardium inflammation,C0027059
systolic dysfunction finding,C0749225
ischemic heart disease diagnosis,C0151744
ischemic heart disease disorder,C0151744
myocardial ischemia disorder,C0151744
myocardial ischemia diagnosis,C0151744
ischemic heart diseases i20 i25,C0151744
disease ischaemic heart,C0151744
ihd,C0151744
ischemia heart,C0151744
myocardium ischemic,C0151744
acute respiratory distress syndrome diagnosis,C0748355
acute respiratory distress symptom,C0748355
acute respiratory distress finding,C0748355
essential primary hypertension,C0085580
essential hypertension disorder,C0085580
essential hypertension diagnosis,C0085580
eht,C0085580
systemic hypertension diagnosis,C0020538
hbp,C0020538
htn,C0020538
increased blood pressure,C0020538
blood pressure increased,C0020538
pressure high blood,C0020538
bp hypertension,C0020538
hypertensive disorder systemic arterial disorder,C0020538
high arterial tension,C0020538
diastolic congestive heart failure diagnosis,C2183328
adhf,C1609524
hypertrophic cardiomyopathy hcm,C0007194
conduction disorder of the heart disorder,C0264886
conduction disorder diagnosis,C0264886
cardiac conduction system diagnosis,C0264886
defect conduction,C0264886
hepatojugular reflux finding,C0239949
hjr,C0239949
heart valve disorder disorder,C0018824
valvular heart disease diagnosis,C0018824
cardiogenic shock disorder,C0036980
cardiogenic shock diagnosis,C0036980
hypertrophic cardiomyopathy disorder,C0007194
hypertrophic cardiomyopathy diagnosis,C0007194
hocm,C0007194
obstructive hypertrophic cardiomyopathy,C0007194
hypertrophic obstructive cardiomyopathies,C0007194
hypertrophic obstructive cardiomyopathy,C0007194
primary hypertrophic cardiomyopathy,C0007194
hocm hypertrophic obstructive cardiomyopathy,C0007194
death finding,C1306577
patient died physical finding,C1306577
dead,C1306577
on examination dead,C1306577
died,C1306577
o e dead,C1306577
o e dead condition fatal,C1306577
patient died finding,C1306577
death found,C1306577
on examination dead finding,C1306577
dysthymia diagnosis,C0013415
coronary artery thrombosis disorder,C0010072
coronary artery thrombosis diagnosis,C0010072
thrombosis artery coronary,C0010072
shallow breathing finding,C0221161
shallow respirations physical finding,C0221161
cardiovascular surgery result dyspnea,C2024878
persistent depressive disorder dysthymia diagnosis,C0013415
left heart failure diagnosis,C0023212
decompensated cardiac failure diagnosis,C0581377
decompensated cardiac failure disorder,C0581377
chronic kidney disease stage 5 diagnosis,C2316810
chronic kidney disease stage 5 disorder,C2316810
renal disease esrd end stage,C2316810
disease esrd end stage renal,C2316810
chronic cor pulmonale disorder,C0238074
chronic cardiopulmonary disease diagnosis,C0238074
chronic pulmonary heart disease disorder,C0238074
cardiovascular surgery result angina,C2024883
cardiovascular surgery result angina treatment,C2024883
cv surgery result angina,C2024883
arrhythmia ventricular nos,C0085612
ventricular arrhythmia diagnosis,C0085612
ventricular arrhythmia disorder,C0085612
left heart failure disorder,C0023212
failure ventricular left,C0023212
lvf,C0023212
ventricular failure left,C0023212
edema lung acute meaning failure left ventricle,C0023212
lung edema acute meaning failure left ventricle,C0023212
dead finding,C1546956
paralytic stroke disorder,C1263853
stroke syndrome diagnosis,C1263853
paralysis stroke,C1263853
stroke paralysis,C1263853
weight loss adverse event,C2911645
diabetes resolved finding,C1278603
overall condition expired,C1546956
patient expired diagnosis,C1546956
died,C1546956
diastolic heart failure disorder,C1135196
unspecified diastolic congestive heart failure,C1135196
heart failures diastolic,C1135196
renal impairment diagnosis,C1565489
decreased exercise tolerance procedure,C0424551
impaired exercise tolerance finding,C0424551
renal impairment disorder,C1565489
renal insufficiency diagnosis,C1565489
abnormalities of heart beat physical finding,C1744601
abnormal heart beat finding,C1744601
abnormal cardiac rate finding,C1744601
heartbeat pulse abnormal,C1744601
abnormality heart beat,C1744601
heart beat abnormality,C1744601
myocardial dysfunction diagnosis,C0340515
coronary artery disorder nos,C1956346
disorder of coronary artery disorder,C1956346
disorder of coronary arteries diagnosis,C1956346
coronary artery disease diagnosis,C1956346
diseases coronary artery,C1956346
cad,C1956346
disease or disorder artery coronary,C1956346
disease or disorder coronary artery,C1956346
disease or disorder heart artery arterial,C1956346
artery disorder coronary,C1956346
water retention finding,C0542203
catheterization cardiac output liters minute,C2007409
myocardial dysfunction disorder,C0340515
systolic congestive heart failure diagnosis,C2039715
hypotension adverse event,C3163620
biventricular congestive heart failure disorder,C0685095
dyspnea at rest finding,C0743330
difficulty breathing at rest symptom,C0743330
secondary oedema,C1265805
ejection fraction finding,C2700378
myocardial disorders diagnosis,C3241958
takotsubo syndrome diagnosis,C1739395
takotsubo cardiomyopathy disorder,C1739395
right ventricular failure disorder,C2939447
failure ventricular right,C2939447
cardiac failure right ventricular,C2939447
right ventricular failure diagnosis,C2939447
ventricular failure right,C2939447
failure right ventricular,C2939447
rvf,C2939447
ischemic congestive cardiomyopathy disorder,C1960867
cardiorenal syndrome diagnosis,C2242703
cardiorenal syndrome disorder,C2242703
ctcae grade 1 atrial fibrillation,C1560312
ctcae grade 2 atrial fibrillation,C1560313
hypertensive heart disease with heart failure diagnosis,C1400066
ctcae grade 2 weight loss,C1559079
ctcae grade 1 dyspnea shortness of breath,C1557662
grade 1 dyspnea shortness of breath,C1557662
ctcae grade 1 dyspnea,C1557662
hypertensive heart failure disorder,C0264652
heart valve regurgitation diagnosis,C0264879
heart valve regurgitation disorder,C0264879
ctcae grade 1 weight loss,C1559078
ctcae grade 1 depression,C1561366
ctcae grade 3 hypertension,C1556274
ctcae grade 2 hypertension,C1556273
ctcae grade 3 hypotension,C1556279
ctcae grade 2 hypotension,C1556278
severe severity modifier,C0205082
severe severity modifier qualifier value,C0205082
ctcae grade 3 pulmonary hypertension,C1556307
ctcae grade 1 hypertension,C1556272
ctcae grade 2 depression,C1561367
pulmonary arterial hypertension diagnosis,C2973725
congenital valvular insufficiency diagnosis,C0265829
congenital valvular insufficiency disorder,C0265829
unspecified debility diagnosis,C3714552
feelings of weakness symptom,C3714552
weak,C3714552
dyspnea shortness of breath,C1963100
dyspnea adverse event,C1963100
dilated ventricles finding,C3278923
,C5203119
it improved,C4084203
,C5201148
weight decreasing physical finding,C1262477
weight decreasing finding,C1262477
weight decreased finding,C1262477
weight loss finding,C1262477
weight loss on exam physical finding,C1262477
pah,C2973725
pulmonary hypertensive arterial disease disorder,C2973725
hypertension lesser circulation,C2973725
lesser circulation hypertension,C2973725
cardiac surgery procedures,C0018821
ctcae grade 2 fatigue,C1556363
grade 1 fatigue asthenia lethargy malaise,C1556362
ctcae grade 1 fatigue asthenia lethargy malaise,C1556362
ctcae grade 1 fatigue,C1556362
amiodarone,C0002598
bumetanide,C0006376
digoxin,C0012265
echocardiography,C0013516
,C5424789
grade 3 fatigue asthenia lethargy malaise,C1556364
ctcae grade 3 fatigue asthenia lethargy malaise,C1556364
ctcae grade 3 fatigue,C1556364
grade 2 fatigue asthenia lethargy malaise,C1556363
ctcae grade 2 fatigue asthenia lethargy malaise,C1556363
adrenergic beta antagonists,C0001645
angiotensin converting enzyme inhibitors,C0003015
catecholamines,C0007412
coronary artery bypass surgery,C0010055
cessation of life,C0011065
low sodium diet,C0012169
diuretics,C0012798
cardiac catheterization procedures,C0018795
metoprolol,C0025859
heart transplantation,C0018823
furosemide,C0016860
metolazone,C0025854
wedge pressure,C0043091
spironolactone,C0037982
warfarin,C0043031
pressure physical agent,C0033095
water,C0043047
carvedilol,C0054836
ventricular ejection fraction,C0042508
fluid restriction,C0204700
implantable defibrillator,C0162589
measurement of central venous pressure,C0199666
torsemide,C0076840
milrinone,C0128513
hemodynamic measurements,C0204901
electrocardiogram myocardial infarction finding,C0428953
inotropic agent substance,C0304509
loop diuretics,C0354100
sodium measurement,C0337443
digoxin measurement,C0337449
ventricular tachycardia by ecg finding,C0344428
demand clinical,C0441516
left atrial pressure,C0456170
coronary revascularisation,C0877341
zaroxolyn,C0701383
mykrox,C0701386
lanoxin,C0699988
lasix,C0699992
ejection fraction procedure,C0489482
angiotensin ii receptor antagonist,C0521942
cardiac rehabilitation,C0700431
personal failure,C0680095
bumex,C0701009
coreg,C0719509
angiotensin receptor antagonists,C0815017
eplerenone,C0961485
inspra,C1144054
diuretic therapy,C0948575
natriuretic peptides,C1144709
cardiac resynchronization therapy,C1167956
procedure on heart,C1279986
metenix,C1323212
bypass surgery,C1536078
percutaneous coronary intervention,C1532338
device therapy,C1504335
atrio biventricular pacing,C2936372
adiposity,C1563743
cardiac catheterization central venous pressure in centimeters of h20,C2007416
continuous electrocardiogram ventricular tachycardia,C2108113
natriuretic peptide test,C2349989
natriuretic peptide,C2709270
implantable cardioverter defibrillator placement,C2825184
target lesion identification,C2986546
hemodynamics procedure,C4281788
cardiopulmonary exercise test,C2959886
loop diuretic epc,C3536704
catecholamine epc,C3536742
angiotensin converting enzyme inhibitor epc,C3536837
angiotensin 2 receptor blocker epc,C3536793
myocardial infarction ecg assessment,C3810814
ischemia procedure,C4321499
beta adrenergic blocker epc,C3536830
pacemaker ecg assessment,C3853703
ventricular arrhythmia ecg assessment,C3812282
product containing amiodarone medicinal product,C0002598
angiotensin 1 human,C4521302
beta adrenergic antagonist,C0001645
adrenergic beta antagonist,C0001645
antagonist beta adrenergic,C0001645
beta antagonist adrenergic,C0001645
beta antagonists adrenergic,C0001645
beta adrenergic antagonists,C0001645
antagonists beta adrenergic,C0001645
beta adrenergic receptor blockaders,C0001645
adrenergic beta receptor blockader,C0001645
blockader adrenergic beta receptor,C0001645
blockader beta adrenergic receptor,C0001645
receptor blockader beta adrenergic,C0001645
beta adrenergic receptor blockader,C0001645
beta receptor blockader adrenergic,C0001645
adrenergic beta receptor blockaders,C0001645
blockaders adrenergic beta receptor,C0001645
blockaders beta adrenergic receptor,C0001645
receptor blockaders beta adrenergic,C0001645
beta receptor blockaders adrenergic,C0001645
beta adrenergic blocking agents,C0001645
beta adrenergic blocking agent,C0001645
agent beta adrenergic blocking,C0001645
blocking agent beta adrenergic,C0001645
agents beta adrenergic blocking,C0001645
blocking agents beta adrenergic,C0001645
beta blockers adrenergic,C0001645
beta adrenergic blockers,C0001645
adrenergic beta blockers,C0001645
beta adrenergic blocker,C0001645
blocker beta adrenergic,C0001645
blockers beta adrenergic,C0001645
beta blocking agents,C0001645
beta blocking agent,C0001645
beta blocker,C0001645
beta blockers,C0001645
beta adrenergic receptor antagonist,C0001645
beta adrenoceptor antagonists,C0001645
antagonist beta adrenoceptor,C0001645
beta adrenoceptor antagonist,C0001645
antagonists beta adrenoceptor,C0001645
beta blocker containing product,C0001645
beta adrenergic blocking agents medication,C0001645
surgical reduction,C4551656
beta adrenergic antagonist therapy,C4723804
ren protein human,C5441729
amiodarone containing product,C0002598
amiodarone substance,C0002598
amiodarona,C0002598
amiodaronum,C0002598
bumethanide,C0006376
angiotensin converting enzyme inhibitor,C0003015
enzyme inhibitor angiotensin converting,C0003015
inhibitor angiotensin converting enzyme,C0003015
enzyme inhibitors angiotensin converting,C0003015
inhibitors angiotensin converting enzyme,C0003015
antagonists angiotensin converting enzyme,C0003015
angiotensin converting enzyme antagonists,C0003015
enzyme antagonists angiotensin converting,C0003015
angiotensin i converting enzyme inhibitors,C0003015
angiotensin i converting enzyme inhibitor,C0003015
kininase ii antagonists,C0003015
antagonists kininase ii,C0003015
kininase ii inhibitors,C0003015
ii inhibitor kininase,C0003015
inhibitor kininase ii,C0003015
kininase ii inhibitor,C0003015
inhibitors kininase ii,C0003015
ace inhibitors,C0003015
ace inhibitor,C0003015
inhibitor ace,C0003015
inhibitors ace,C0003015
ace inhibitors medication,C0003015
angiotensin converting enzyme ace inhibitors,C0003015
bumetanida,C0006376
bumetanidum,C0006376
3 butylamino 4 phenoxy 5 sulfamoylbenzoic acid,C0006376
3 butylamino 4 phenoxy 5 sulfamoyl benzoic acid,C0006376
product containing bumetanide medicinal product,C0006376
bumetanide containing product,C0006376
bumetanide substance,C0006376
bumetanide medication,C0006376
catecholamine,C0007412
catecholamine substance,C0007412
sympathins,C0007412
sympathin,C0007412
coumel,C0007412
product containing catecholamine product,C0007412
catecholamine containing product,C0007412
bypass surgery coronary artery,C0010055
cabg coronary artery bypass graft,C0010055
coronary artery bypass graft cabg,C0010055
coronary artery bypass grafts cabg,C0010055
cag coronary artery graft,C0010055
cbg coronary bypass graft,C0010055
coronary artery bypass graft surgery,C0010055
heart bypass,C0010055
coronary bypass surgery,C0010055
aortocoronary bypass grafting,C0010055
coronary artery bypass graft operations,C0010055
aortocoronary artery bypass graft procedure,C0010055
coronary artery bypass grafting procedure,C0010055
coronary artery bypass graft cabg treatment,C0010055
coronary artery bypass graft gabg,C0010055
aortocoronary bypass,C0010055
aortocoronary bypasses,C0010055
bypasses aortocoronary,C0010055
bypass aortocoronary,C0010055
aortocoronary bypass for heart revascularization,C0010055
aortocoronary bypass for heart revascularisation,C0010055
coronary artery bypass,C0010055
artery bypasses coronary,C0010055
bypasses coronary artery,C0010055
coronary artery bypasses,C0010055
artery bypass coronary,C0010055
bypass coronary artery,C0010055
coronary artery bypass grafting,C0010055
coronary artery bypass graft,C0010055
bypass anastomosis for heart revascularization,C0010055
cardiac revascularization with bypass anastomosis,C0010055
cardiac revascularisation with bypass anastomosis,C0010055
vascular aortocoronary bypass,C0010055
coronary bypass,C0010055
aortocoronary artery bypass graft,C0010055
diagnostic ultrasound of heart,C0013516
diet low sodium,C0012169
sodium diet low,C0012169
diets low sodium,C0012169
low sodium diets,C0012169
diet low salt,C0012169
low salt diet,C0012169
diets low salt,C0012169
low salt diets,C0012169
diet sodium restricted,C0012169
sodium restricted diet,C0012169
restricted sodium diet,C0012169
diets sodium restricted,C0012169
sodium restricted diets,C0012169
diet restrict sodium,C0012169
diets restricted sodium,C0012169
na low sodium diet,C0012169
reduced salt diet,C0012169
diet reducing salt,C0012169
reduced sodium diet,C0012169
restricted salt diet,C0012169
decreased sodium diet regime therapy,C0012169
decreased sodium diet,C0012169
low sodium,C0012169
mineral modified diet sodium decreased,C0012169
decreased sodium diet treatment,C0012169
low sodium diet finding,C0012169
low sodium diet treatment,C0012169
digoxina,C0012265
digoxinum,C0012265
digoxine,C0012265
digossina,C0012265
digoxin containing product,C0012265
product containing digoxin medicinal product,C0012265
digoxin substance,C0012265
digoxin medication,C0012265
12 hydroxydigitoxin,C0012265
12beta hydroxydigitoxin,C0012265
digoxigenin tridigitoxosid,C0012265
death,C0011065
deaths,C0011065
death nos,C0011065
expired,C0011065
death diagnosis,C0011065
has died,C0011065
biological death,C0011065
end of life,C0011065
deceased,C0011065
death event,C0011065
expired death,C0011065
diuretic,C0012798
diuretic agent,C0012798
medicinal product acting as diuretic product,C0012798
diuretic substance,C0012798
diuretics medication,C0012798
water pills,C0012798
echocardiographic procedure,C0013516
ultrasonography of heart,C0013516
cardiac echo,C0013516
cardiac us scan,C0013516
echocardiogram,C0013516
echocardiograms,C0013516
us scan of heart,C0013516
us heart scan,C0013516
echocardiography procedure,C0013516
echocardiography procedures,C0013516
transthoracic echocardiography,C0013516
echocardiography transthoracic,C0013516
heart sonography,C0013516
sound measurement,C0013516
echo test,C0013516
heart ultrasound,C0013516
ultrasound of heart,C0013516
echocardiogram procedure,C0013516
pressures,C0033095
furosemide containing product,C0016860
furosemide substance,C0016860
frusemide,C0016860
furosemide medication,C0016860
cardiac catheterization procedure,C0018795
cardiac catheterisation procedure,C0018795
cardiac catheterization,C0018795
catheterization cardiac,C0018795
cardiac catheterizations,C0018795
catheterizations cardiac,C0018795
cardiac catheterisation,C0018795
catheterisation cardiac,C0018795
cardiac catheterization nos,C0018795
catheterization heart,C0018795
heart catheterization,C0018795
catheterizations heart,C0018795
heart catheterizations,C0018795
insertion of catheter into heart chamber,C0018795
cca cardiac catheterization,C0018795
cca cardiac catheterisation,C0018795
cardiac catheterization procedures procedure,C0018795
heart catheterization procedure,C0018795
cardiac surgery procedure,C0018821
cardiac surgery,C0018821
heart surgery,C0018821
heart surgeries,C0018821
operative procedure on heart,C0018821
operation on heart,C0018821
heart operations,C0018821
heart operation,C0018821
cardiac operation,C0018821
cardiac operations,C0018821
cardiac operation nos,C0018821
cardiac surgical procedures,C0018821
cardiac surgical procedure,C0018821
procedure cardiac surgical,C0018821
surgical procedure cardiac,C0018821
procedures cardiac surgical,C0018821
surgical procedures cardiac,C0018821
surgical procedures heart,C0018821
heart surgical procedure,C0018821
procedure heart surgical,C0018821
surgical procedure heart,C0018821
heart surgical procedures,C0018821
procedures heart surgical,C0018821
heart surgery procedure,C0018821
cardio pulm heart surgery general,C0018821
operation on heart procedure,C0018821
heart surgery treatment,C0018821
heart transplantations,C0018823
transplantations heart,C0018823
transplantation of heart,C0018823
transplantation heart,C0018823
grafting heart,C0018823
graftings heart,C0018823
heart graftings,C0018823
heart graft,C0018823
heart grafting,C0018823
heart transplant,C0018823
heart transplants,C0018823
ctx cardiac transplant,C0018823
htx heart transplant,C0018823
httx heart transplant,C0018823
transplantation cardiac,C0018823
cardiac transplantation,C0018823
cardiac transplantations,C0018823
transplantations cardiac,C0018823
cardio pulm heart transplant,C0018823
cardiac transplant,C0018823
cardiac transplants,C0018823
transplantation of heart procedure,C0018823
transplantation of heart treatment,C0018823
metolazona,C0025854
metolazonum,C0025854
metolazon,C0025854
product containing metolazone medicinal product,C0025854
metolazone containing product,C0025854
metolazone substance,C0025854
metolazone medication,C0025854
rs metoprolol,C0025859
dl metoprolol,C0025859
metoprolol containing product,C0025859
product containing metoprolol medicinal product,C0025859
metoprolol substance,C0025859
metoprolol medication,C0025859
frusemid,C0016860
fursemide,C0016860
furosemid,C0016860
furosemida,C0016860
furosemidum,C0016860
furosemidu,C0016860
product containing furosemide medicinal product,C0016860
physical pressure,C0033095
pressure physical agent physical force,C0033095
spirolactone,C0037982
spirolactones,C0037982
verospirone,C0037982
veroshpiron,C0037982
spironolactonum,C0037982
espironolactona,C0037982
spironolattone,C0037982
spironolactone containing product,C0037982
spironolactone substance,C0037982
spironolactone medication,C0037982
torasemide,C0076840
ejection fractions ventricular,C0042508
fractions ventricular ejection,C0042508
ventricular ejection fractions,C0042508
ejection fraction ventricular,C0042508
fraction ventricular ejection,C0042508
anticoagulants warfarin,C0043031
warfarin medication,C0043031
4 hydroxy 3 3 oxo 1 phenylbutyl coumarin,C0043031
zoocoumarin,C0043031
product containing warfarin medicinal product,C0043031
warfarin containing product,C0043031
warfarina,C0043031
warfarin substance,C0043031
1 4 hydroxy 3 coumarinyl 1 phenyl 3 butanone,C0043031
3 alpha acetonylbenzyl 4 hydroxycoumarin,C0043031
3 alpha phenyl beta acetylethyl 4 hydroxycoumarin,C0043031
watering,C0043047
hydrogen oxide,C0043047
h2o water,C0043047
dihydrogen oxide,C0043047
product containing water medicinal product,C0043047
water containing product,C0043047
water substance,C0043047
pressure wedge,C0043091
pressures wedge,C0043091
wedge pressures,C0043091
carvedilolum,C0054836
product containing carvedilol medicinal product,C0054836
carvedilol containing product,C0054836
carvedilol substance,C0054836
carvedilol medication,C0054836
torasemida,C0076840
torasemidum,C0076840
torsemide containing product,C0076840
torasemide containing product,C0076840
product containing torasemide medicinal product,C0076840
torasemide substance,C0076840
torsemide medication,C0076840
defibrillator implantable,C0162589
milrinona,C0128513
milrinonum,C0128513
product containing milrinone medicinal product,C0128513
milrinone containing product,C0128513
milrinone substance,C0128513
inotropes milrinone,C0128513
milrinone medication,C0128513
implantable defibrillators,C0162589
defibrillators implantable,C0162589
implantable cardioverter defibrillators,C0162589
cardioverter defibrillator implantable,C0162589
implantable cardioverter defibrillator,C0162589
defibrillator cardioverters implantable,C0162589
defibrillator implantable cardioverter,C0162589
cardioverter defibrillators implantable,C0162589
defibrillators implantable cardioverter,C0162589
defibrillators automatic,C0162589
automatic defibrillators,C0162589
automatic defibrillator,C0162589
defibrillators automatic implantable,C0162589
defibrillators internal,C0162589
internal defibrillators,C0162589
internal defibrillator,C0162589
automatic internal defibrillators,C0162589
implantable defibrillator device,C0162589
icd implantable cardioverter defibrillator,C0162589
inotropic agent,C0304509
haemodynamic measurements,C0204901
hemodynamic measurements procedure,C0204901
central venous pressure,C0199666
central pressure venous,C0199666
cvp measurement,C0199666
fluid restrictions,C0204700
fluid restriction procedure,C0204700
fluid restriction treatment,C0204700
agents inotropic,C0304509
inotropic agents,C0304509
inotropic agent product,C0304509
inotropic product,C0304509
inotropes,C0304509
inotropic agents medication,C0304509
ventricular tachycardia,C0344428
measurement of sodium,C0337443
sodium level,C0337443
measurement of sodium lab test,C0337443
lab based chem measurements sodium,C0337443
sodium measurement procedure,C0337443
sodium level test,C0337443
digoxin,C0337449
digoxin level,C0337449
digoxin levels,C0337449
digoxin assay,C0337449
digoxin measurement procedure,C0337449
ekg ventricular tachycardia,C0344428
electrocardiographic ventricular tachycardia,C0344428
electrocardiogram ventricular tachycardia,C0344428
diuretics loop,C0354100
loop diuretic,C0354100
diuretic loop,C0354100
loop diuretic substance,C0354100
loop acting diuretics medication,C0354100
loop acting diuretics,C0354100
ecg ventricular tachycardia,C0344428
ventricular tachycardia by ekg finding,C0344428
myocardial infarction,C0428953
ecg myocardial infarction,C0428953
ecg infarction myocardial,C0428953
myocardial infarction ecg,C0428953
myocardial infarction by ekg finding,C0428953
electrocardiographic myocardial infarction,C0428953
ekg myocardial infarction,C0428953
myocardial infarction by ecg finding,C0428953
electrocardiogram finding of infarction,C0428953
digoxin injection,C0699988
la left atrial pressure,C0456170
lap left atrial pressure,C0456170
left atrial pressure observable entity,C0456170
ejection fraction,C0489482
ejection fraction ef,C0489482
angiotensin ii receptor antagonists,C0521942
angiotensin ii receptor blockers,C0521942
angiotensin ii receptor blocker,C0521942
angiotensin receptor blockers,C0521942
angiotensin ii blockers medication,C0521942
angiotensin ii blockers,C0521942
demanding,C0441516
demands,C0441516
failures,C0680095
lanoxin pg,C0699988
lenoxin,C0699988
digoxin lanoxin injection,C0699988
digoxin injection medication,C0699988
rehabilitation cardiac,C0700431
cardiac rehabilitation treatment,C0700431
cardiac rehabilitation treatments,C0700431
cardiac rehabilitation therapy,C0700431
therapy cardiac rehabilitation,C0700431
cardiac rehabilitation regime therapy,C0700431
rnrx cardiac rehabilitation treatment,C0700431
rnrx cardiac rehabilitation,C0700431
heart diseases rehabilitation,C0700431
cardiac rehabilitations,C0700431
rehabilitations cardiac,C0700431
cardiac care rehabilitative,C0700431
cardiovascular rehabilitation,C0700431
cardiovascular rehabilitations,C0700431
rehabilitations cardiovascular,C0700431
rehabilitation cardiovascular,C0700431
encounter due to cardiac rehabilitation,C0700431
rnax perform cardiac rehabilitation therapy,C0700431
antagonist angiotensin receptor,C0815017
microx,C0701386
angiotensin receptor antagonist,C0815017
receptor antagonist angiotensin,C0815017
antagonists angiotensin receptor,C0815017
receptor antagonists angiotensin,C0815017
angiotensin receptor blockers,C0815017
angiotensin receptor blocker,C0815017
blocker angiotensin receptor,C0815017
receptor blocker angiotensin,C0815017
receptor blockers angiotensin,C0815017
natriuretic peptide,C1144709
eplerenone containing product,C0961485
product containing eplerenone medicinal product,C0961485
eplerenona,C0961485
eplerenone substance,C0961485
eplerenone medication,C0961485
eplerenon,C0961485
coronary revascularization,C0877341
coronary revascularization procedure,C0877341
diuretics therapy,C0948575
diuretic therapy procedure,C0948575
diuretic treatment,C0948575
diuretics treatment,C0948575
treatment diuretic,C0948575
peptide natriuretic,C1144709
peptides natriuretic,C1144709
natriuretic peptide hormones,C1144709
natriuretic peptide hormone,C1144709
peptide hormones natriuretic,C1144709
implantable cardioverter defibrillator,C2825184
heart procedure,C1279986
heart procedures,C1279986
card proc,C1279986
cardiac procedure,C1279986
cardiac procedures,C1279986
procedure on heart procedure,C1279986
coronary interventions percutaneous,C1532338
interventions percutaneous coronary,C1532338
percutaneous coronary interventions,C1532338
coronary intervention percutaneous,C1532338
intervention percutaneous coronary,C1532338
percutaneous coronary revascularization,C1532338
coronary revascularizations percutaneous,C1532338
percutaneous coronary revascularizations,C1532338
revascularizations percutaneous coronary,C1532338
coronary revascularization percutaneous,C1532338
revascularization percutaneous coronary,C1532338
pci percutaneous coronary intervention,C1532338
percutaneous coronary interventions pci,C1532338
percutaneous coronary intervention procedure,C1532338
ventricular tachycardia,C2108113
measurement of natriuretic peptide,C2349989
natriuretic peptide,C2349989
cardiac resynchronisation therapy,C1167956
resynchronization therapy cardiac,C1167956
therapy cardiac resynchronization,C1167956
cardiac resynchronization therapy procedure,C1167956
biventricular cardiac pacemaker procedure,C1167956
cardiac resynchronization,C1167956
resynchronization cardiac,C1167956
cardiac resynchronization pacing therapy,C1167956
resynchronization pacing therapy cardiac,C1167956
adiposis,C1563743
adipositas,C1563743
central venous pressure,C2007416
cardiac catheterization cvp in centimeters of h20,C2007416
implantable cardioverter defibrillator procedure,C2825184
pacing atrio biventricular,C2936372
biventricular pacing,C2936372
pacing biventricular,C2936372
loop diuretic,C3536704
catecholamine,C3536742
catecholamine class agent,C3536742
angiotensin ii receptor blocker,C3536793
angiotensin 2 receptor blocker,C3536793
beta adrenergic blocker,C3536830
beta adrenergic receptor inhibitor,C3536830
angiotensin converting enzyme inhibitor,C3536837
cardiopulmonary exercise tests,C2959886
exercise tests cardiopulmonary,C2959886
tests cardiopulmonary exercise,C2959886
